CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
716,B439,Selected Topics,Selected Topics,3,NULL
717,B490,Selected Topics Anthropology,Selected Topics Anthropology,3,NULL
718,B409,Selected Topics in Computing,Selected Topics in Computing,1,3
719,B400,Selected Topics in Education,Selected Topics in Education,1,4
720,B599,Selected Topics in Education,Special Topics in Education,1,3
721,B498,Selected Topics in Human Srvs,Selected Topics in Human Srvs,1,3
722,B490,Selected Topics in Psychology,Selected Topics in Psychology,3,NULL
723,B497,Seminar IDST Among Discipline,Seminar IDST Among Discipline,3,NULL
724,B497,Seminar in LS Among Discipline,Seminar in LS Among Discipline,3,NULL
725,B485,Senior Exhibition,Senior Exhibition,3,NULL
726,B476,Senior Seminar,Senior Seminar,3,NULL
727,B480,Senior Seminar,Senior Seminar,3,NULL
728,B499,Senior Seminar,Senior Seminar,3,NULL
729,B490,Senior Seminar in Health Promo,Senior Seminar in Health Promo,2,NULL
730,B490,Senior Seminar Public Health,Senior Seminar Public Health,2,NULL
731,B476,Senior Seminar Secondary Math,Senior Seminar Secondary Math,3,NULL
732,B498,Senior Seminar: Writing,Senior Seminar: Writing,3,NULL
733,B499,Senior Thesis,Senior Thesis,3,NULL
734,B499,Senior Thesis - Honors,Senior Thesis,3,NULL
735,B499,Senior Thesis- Honors,Senior Thesis,3,NULL
736,B499,Senior Thesis: Honors,Senior Thesis,3,NULL
737,B451,Sensation and Perception,Sensation and Perception,3,NULL
738,B300,"Sex, Sexuality, Gender & Healt","Sex, Sexuality, Gender & Healt",3,NULL
739,B222,Simulated Patient Lab,Simulated Patient Lab,1,NULL
740,B225,Single Camera Production,Single Camera Production,3,NULL
741,B350,Soc Delinquent Youth Behavior,Soc Delinquent Youth Behavior,3,NULL
742,B360,Soc of Medicine and Health,Soc of Medicine and Health,3,NULL
743,B119,Soccer,Soccer,1,NULL
744,B310,Social Demography,Social Demography,3,NULL
745,B331,Social Psychology,Social Psychology,3,NULL
746,B300,Social Structures,Social Structures,3,NULL
747,B497,Sociological Research Methods,Sociological Research Methods,4,NULL
748,B496,Sociological Theory,Sociological Theory,3,NULL
749,B313,Sociology of Aging,Sociology of Aging,3,NULL
750,B325,Sociology of Childhood,Sociology of Childhood,3,NULL
751,B353,Sociology of Crime,Sociology of Crime,3,NULL
752,B341,Sociology of Death and Dying,Sociology of Death and Dying,3,NULL
753,B323,Sociology of Deviant Behavior,Sociology of Deviant Behavior,3,NULL
754,B357,Sociology of Education,Sociology of Education,3,NULL
755,B349,Sociology of Food,Sociology of Food,3,NULL
756,B307,Sociology of Religion,Sociology of Religion,3,NULL
757,B370,Sociology of Sport,Sociology of Sport,3,NULL
758,B356,Sociology of the Body,Sociology of the Body,3,NULL
759,B305,Sociology of the Family,Sociology of the Family,3,NULL
760,B104,Software Design & Development,Comptr Programming Techniques,3,NULL
761,B570,Software Sys Design & Implemen,Software Sys Design & Implemen,3,NULL
762,B470,Software System Process,Software System Process,3,NULL
763,B470,Software Testing and Verificat,Software Testing and Verificat,3,NULL
764,B427,Southern Literature,Southern Literature,3,NULL
765,B401,Spanish American Civilz I,Spanish American Civilz I,3,NULL
766,B403,Spanish American Civilz II,Spanish American Civilz II,3,NULL
767,B400,Spanish Civilization I,Spanish Civilization I,3,NULL
768,B402,Spanish Civilization II,Spanish Civilization II,3,NULL
769,B599,Special Topics in Education,Special Topics in Education,1,3
770,B498,Special Topics in Hospitality,Special Topics in Hospitality,1,6
771,B499,Special Topics in Pro Nursing,Special Topics in Pro Nursing,1,3
772,B499,Special Topics in PUBH,Special Topics in PUBH,1,4
773,B409,Special Topics in Security,Special Topics in Security,3,NULL
774,B305,"Spirituality, Health & Profess","Spirituality, Health & Profess",3,NULL
775,B320,Sport Law,Sport Law,3,NULL
776,B229,Sport Psychology,Sport Psychology,3,NULL
777,B325,Sports & The Humanities,Sports & The Humanities,3,NULL
778,B402,Sports Broadcasting,Sports Broadcasting,3,NULL
779,B474,Sports Marketing,Sports Marketing,3,NULL
780,B320,Sports Nutrition,Sports Nutrition,3,NULL
781,B325,Sports Nutrition,Sports Nutrition,3,NULL
782,B148,Stand Up Paddle Boarding,Stand Up Paddle Boarding,1,NULL
783,B200,Statics,Statics,3,NULL
784,B201,Statistics Lab in Psychology,Statistics Lab in Psychology,1,NULL
785,B345,Storytelling in Contexts,Storytelling in Contexts,3,NULL
786,B478,Strategic Management,Strategic Management,3,NULL
787,B306,Strategic Social Media,Strategic Social Media,3,NULL
788,B101,Studio Arts for Non Majors,Studio Arts for Non Majors,3,NULL
789,B401,Study Abroad - USCB Exchange,Study Abroad - USCB Exchange,0,16
790,B335,Survey of Federal Taxation,Survey of Federal Taxation,3,NULL
791,B550,Systems Modeling & Simulation,Systems Modeling & Simulation,3,NULL
792,B432,Tching Science Elementary Schs,Tching Science Elementary Schs,3,NULL
793,B443,Tching Social Studies in Elem,Tching Social Studies in Elem,3,NULL
794,B431,Teach Math in Elementary Schls,Teach Math in Elementary Schls,3,NULL
795,B201,Teacher Cadet II,Teacher Cadet II,3,NULL
796,B430,Teaching Math in Secondary Sch,Teaching Math in Secondary Sch,3,NULL
797,B438,Teaching Soc Stu in Early Chil,Teaching Soc Stu in Early Chil,3,NULL
798,B462,Technical Writing,Technical Writing,3,NULL
799,B350,Techniques of Computation,Intro to Data Structures & Alg,3,NULL
800,B405,Television Studio Prod II,Television Studio Prod II,3,NULL
801,B305,Television Studio Production I,Television Studio Production I,3,NULL
802,B121,Tennis I,Tennis I,1,NULL
803,B425A,The American Novel to 1914,The American Novel to 1914,3,NULL
804,B415,The English Novel,The English Novel,3,NULL
805,B300,The Historian's Craft,The Historian's Craft,3,NULL
806,B320,The History of Great Britain,The History of Great Britain,3,NULL
807,B303,The International Economy,The International Economy,3,NULL
808,B443,The New South,The New South,3,NULL
809,B442,The Old South,The Old South,3,NULL
810,B101,The Student in the University,The Student in the University,3,NULL
811,B470,The Teaching of Writing,The Teaching of Writing,3,NULL
