CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
210,684,83,39,86,53053,3,68,1,T Th   ,12:15 PM - 1:30 PM
211,684,83,60,86,54578,3,35,1,T Th   ,12:15 PM - 1:30 PM
212,684,83,60,94,54577,3,25,01W,NULL,NULL
213,684,83,60,94,60452,3,1,H1W,NULL,NULL
214,684,83,69,86,56205,3,35,1,M W    ,12:00 PM - 1:15 PM
215,684,83,78,86,56340,3,35,1,M W    ,12:00 PM - 1:15 PM
216,684,83,89,86,53951,3,67,1,M W    ,12:00 PM - 1:15 PM
217,684,83,12,81,72947,3,35,41,MTWTh   ,10:30 AM - 12:45 PM
218,684,83,20,81,76570,3,25,41,MTWTh   ,10:30 AM - 12:45 PM
219,684,83,31,7,75335,3,25,W01,NULL,NULL
220,684,83,41,95,73848,3,25,W01,NULL,NULL
221,684,83,50,95,73279,3,25,01W,NULL,NULL
222,684,83,63,94,73593,3,25,01W,NULL,NULL
223,684,83,72,94,74780,3,25,01W,NULL,NULL
224,684,116,49,95,57192,3,25,01W,NULL,NULL
225,684,409,66,78,27545,3,35,2,T Th   ,9:25 AM - 10:40 AM
226,684,409,66,78,31638,3,0,CH2,T Th   ,9:25 AM - 10:40 AM
227,684,409,69,86,56212,3,35,2,T Th   ,9:25 AM - 10:40 AM
228,684,409,78,86,56341,3,35,2,T Th   ,9:25 AM - 10:40 AM
229,899,83,8,7,52322,3,35,W01,NULL,NULL
230,899,83,19,7,50376,3,25,W01,NULL,NULL
231,899,83,29,7,55189,3,25,W01,NULL,NULL
232,899,83,11,7,75475,3,30,W01,NULL,NULL
233,899,83,22,7,76571,3,25,W01,NULL,NULL
234,899,83,31,7,73032,3,25,W01,NULL,NULL
235,899,83,31,7,73116,3,25,W02,NULL,NULL
236,899,83,41,95,73849,3,25,W01,NULL,NULL
237,899,83,50,95,73280,3,25,01W,NULL,NULL
238,899,83,63,94,73594,3,25,01W,NULL,NULL
239,899,83,72,94,74781,3,25,01W,NULL,NULL
240,899,116,25,7,25504,3,25,W01,NULL,NULL
241,899,116,34,95,26765,3,25,W01,NULL,NULL
242,899,116,45,94,24572,3,25,01W,NULL,NULL
243,899,116,56,94,26283,3,25,01W,NULL,NULL
244,899,116,66,94,27547,3,25,01W,NULL,NULL
245,899,116,75,94,26044,3,25,01W,NULL,NULL
246,899,116,86,94,28259,3,35,01W,NULL,NULL
247,899,116,29,7,58960,3,25,W02,NULL,NULL
248,899,116,39,95,53117,3,25,W01,NULL,NULL
249,899,116,49,95,57193,3,25,01W,NULL,NULL
250,899,116,60,94,54576,3,25,01W,NULL,NULL
251,899,116,69,94,56170,3,25,01W,NULL,NULL
252,899,116,78,94,56343,3,25,01W,NULL,NULL
253,899,116,89,94,53953,3,25,01W,NULL,NULL
254,899,123,1,62,22192,3,35,2,T     ,6:00 PM - 9:00 PM
255,899,123,1,91,22066,3,40,1,M      ,6:00 PM - 9:00 PM
256,899,123,5,91,20115,3,40,1,M      ,6:15 PM - 9:15 PM
257,899,123,5,92,20177,3,35,2,T     ,6:00 PM - 9:00 PM
258,899,123,15,75,24753,3,25,2,T     ,6:00 PM - 9:00 PM
259,899,123,15,88,24752,3,25,1,M      ,6:25 PM - 9:25 PM
260,899,123,25,93,25503,3,25,1,M      ,6:25 PM - 9:25 PM
261,899,123,8,87,52319,3,35,2,M      ,6:15 PM - 8:45 PM
262,899,123,8,93,52321,3,35,1,Th   ,6:00 PM - 8:30 PM
263,899,123,19,87,50375,3,30,1,M      ,6:15 PM - 9:15 PM
264,899,123,19,88,50373,3,30,2,Th   ,6:00 PM - 9:00 PM
